question,choice,skill,program_method,program_price
1,A,Create Analytics Dashboard,Tutorial Based,500000
1,B,Perform Customer Segmentation,Mentoring Based,350000
1,C,Design AB Test Experimentation,Mentoring Based,300000
2,A,Create Analytics Dashboard,Tutorial Based,500000
2,B,Design Data Pipeline,Mentoring Based,300000
2,C,Perform Credit Scoring Analytics,Mentoring Based,550000
3,A,Perform Customer Segmentation,Mentoring Based,350000
3,B,Perform Customer Segmentation,Tutorial Based,450000
3,C,Design Data Pipeline,Mentoring Based,250000
4,A,Design AB Test Experimentation,Mentoring Based,500000
4,B,Perform Price Optimization,Tutorial Based,350000
4,C,Perform Credit Scoring Analytics,Mentoring Based,350000
5,A,Design Data Pipeline,Mentoring Based,400000
5,B,Perform Customer Lifetime Analysis,Tutorial Based,300000
5,C,Design AB Test Experimentation,Tutorial Based,300000
6,A,Perform Churn Analytics,Tutorial Based,450000
6,B,Perform Customer Segmentation,Mentoring Based,300000
6,C,Create Machine Learning Model,Mentoring Based,300000
7,A,Perform Customer Lifetime Analysis,Tutorial Based,500000
7,B,Design Data Pipeline,Mentoring Based,550000
7,C,Deploy Machine Learning Model,Tutorial Based,350000
8,A,Perform Credit Scoring Analytics,Mentoring Based,300000
8,B,Design Data Pipeline,Mentoring Based,550000
8,C,Create Machine Learning Model,Tutorial Based,550000
9,A,Create Analytics Dashboard,Mentoring Based,250000
9,B,Design AB Test Experimentation,Tutorial Based,550000
9,C,Perform Customer Lifetime Analysis,Mentoring Based,350000
10,A,Perform Credit Scoring Analytics,Mentoring Based,400000
10,B,Perform Churn Analytics,Mentoring Based,450000
10,C,Perform Churn Analytics,Tutorial Based,500000
